shot_count,metric,estimand,point_estimate,bootstrap_standard_error,ci_lower,ci_upper,ci_excludes_zero
0,accuracy,4bit_minus_bf16,0.02408256880733939,0.0062714725562013655,0.011467889908256867,0.03669724770642202,True
0,ece_10_bins,4bit_minus_bf16,-0.023152266278726297,0.006407585128154594,-0.03638616016630185,-0.010188574038035749,True
1,accuracy,4bit_minus_bf16,0.018539755351682174,0.01721358859080401,-0.012428325688073458,0.05276662844036692,False
1,ece_10_bins,4bit_minus_bf16,-0.021939063837768807,0.013693445890331871,-0.04978443430679699,0.0037462669581356982,False
2,accuracy,4bit_minus_bf16,0.017010703363914415,0.00565378485491969,0.006880733944954362,0.028292240061162002,True
2,ece_10_bins,4bit_minus_bf16,-0.021529264565819273,0.005591991383687925,-0.03190470111445282,-0.010646396720161003,True
4,accuracy,4bit_minus_bf16,0.007836391437308965,0.006098001645939954,-0.0038226299694189584,0.02064220183486232,False
4,ece_10_bins,4bit_minus_bf16,-0.009113677187797091,0.005033822910570197,-0.01898560246811546,0.00027097294232400585,False
8,accuracy,4bit_minus_bf16,0.0036314984709480136,0.003948010886301797,-0.004204892966360843,0.011090405198776746,False
8,ece_10_bins,4bit_minus_bf16,-0.00674418869231818,0.003369986956664697,-0.013312889339362479,-0.00024157771983099075,True
